Spinel,MgFe1,MgFe2,MgFe3,MgFe4,MgFe5,MgFe6,MgFe7,MgFe8,MgFe9,MgFe10,MgFe11,MgAl1,MgAl2,MgAl3,MgAl4,MgAl5,MgAl6,MgAl7,MgAl8,MgAl9,MgAl10,MgAl11,FeAl1,FeAl2,FeAl3,FeAl4,FeAl5,FeAl6,FeAl7,FeAl8,FeAl9,FeAl10,FeAl11,Mg1,Mg2,Mg3,Mg4,Mg5,Mg6,Fe1,Fe2,Fe3,Fe4,Fe5,Fe6,Al1,Al2,Al3,Al4,Al5,Al6,energy
65,6,3,3,9,2,3,1,9,2,3,1,34,31,7,21,38,31,5,21,38,7,13,6,8,2,3,10,8,1,3,10,2,3,18,14,8,4,14,2,0,1,0,0,1,0,46,27,12,84,27,6,-391.74339
66,4,4,2,3,4,4,2,3,4,2,0,28,30,8,27,40,30,4,27,40,8,14,8,10,2,9,8,10,1,9,8,2,1,18,14,4,8,14,2,0,0,0,0,0,1,48,26,0,84,26,7,-391.07961
67,2,3,4,9,2,3,0,9,2,4,1,42,33,8,21,30,33,4,21,30,8,11,10,8,3,3,10,8,0,3,10,3,3,18,12,16,2,12,4,0,0,0,0,0,1,40,25,12,92,25,8,-391.3629
68,4,4,2,6,2,4,2,6,2,2,0,36,32,10,18,34,32,2,18,34,10,12,8,9,1,6,10,9,2,6,10,1,2,24,12,12,4,12,4,0,1,0,0,1,0,44,25,12,88,25,8,-392.13197
69,6,1,4,6,4,1,1,6,4,4,2,30,23,14,18,48,23,6,18,48,14,7,6,7,4,6,8,7,0,6,8,4,3,12,12,8,12,12,3,0,1,0,0,1,0,42,30,24,64,30,10,-391.14647
70,6,2,3,6,4,2,2,6,4,3,1,38,25,18,18,40,25,2,18,40,18,5,6,8,3,6,8,8,1,6,8,3,2,12,9,16,8,9,6,0,1,0,0,1,0,38,27,24,72,27,13,-392.10814
71,2,3,3,3,4,3,2,3,4,3,0,42,22,16,21,40,22,4,21,40,16,8,10,8,2,9,8,8,2,9,8,2,2,12,11,16,8,11,4,0,1,0,0,1,0,34,30,18,72,30,10,-391.53958
72,6,3,3,6,2,3,2,6,2,3,0,34,21,15,18,42,21,5,18,42,15,9,6,8,2,6,10,8,2,6,10,2,2,12,12,16,10,12,3,0,1,0,0,1,0,40,31,24,68,31,9,-391.46827
73,2,6,2,9,2,6,0,9,2,2,0,22,57,1,9,18,57,1,9,18,1,21,10,10,0,3,10,10,1,3,10,0,3,54,9,4,0,9,3,0,0,0,0,0,1,62,11,0,128,11,2,-392.98611
74,0,5,1,9,2,5,1,9,2,1,1,24,58,2,9,18,58,0,9,18,2,20,12,10,0,3,10,10,1,3,10,0,3,54,9,4,0,9,3,0,1,0,0,1,0,60,10,0,128,10,3,-392.84537
75,2,5,1,12,2,5,1,12,2,1,1,22,57,1,12,22,57,1,12,22,1,21,10,10,0,0,10,10,1,0,10,0,3,48,10,0,0,10,2,0,1,0,0,1,0,62,11,0,124,11,2,-392.59657
76,4,5,0,12,0,5,2,12,0,0,1,16,57,2,12,24,57,0,12,24,2,21,8,12,1,0,12,12,0,0,12,1,1,48,10,0,2,10,2,0,0,0,0,0,1,66,9,0,120,9,4,-392.36763
